"TASK_TYCD","KEY_MSG","KEY","MSG","LANG_CD"
common,common.label.score.reconfirm.yn.list=Score recheck list,common.label.score.reconfirm.yn.list,Score recheck list,en
common,common.label.score.reconfirm.yn.treat=Score recheck processing,common.label.score.reconfirm.yn.treat,Score recheck processing,en
common,common.label.score.reconfirm.yn.processing=Score reconfir period,common.label.score.reconfirm.yn.processing,Score reconfir period,en
common,common.label.score.reconfirm=Score recheck,common.label.score.reconfirm,Score recheck,en
common,common.label.grade.chart=Grade distribution chart,common.label.grade.chart,Grade distribution chart,en
common,common.label.grade.distr=Grade distribution,common.label.grade.distr,Grade distribution,en
common,common.label.score.chart=Score distribution chart,common.label.score.chart,Score distribution chart,en
common,common.label.score.distr=Grade distribution,common.label.score.distr,Grade distribution,en
common,common.label.score.measure=Point scale,common.label.score.measure,Point scale,en
common,common.label.score.ratio=Score reflection ratio,common.label.score.ratio,Score reflection ratio,en
common,common.label.score.reveal=Open score,common.label.score.reveal,Open score,en
common,common.label.search=Search,common.label.search,Search,en
common,common.label.search.option=Search option,common.label.search.option,Search option,en
common,common.label.search.setence=Keyword,common.label.search.setence,Keyword,en
common,common.label.sel_filter=Filder,common.label.sel_filter,Filder,en
common,common.label.sel_order=Sort,common.label.sel_order,Sort,en
common,common.label.select=Please select,common.label.select,Please select,en
common,common.label.select.crs=Select a lecture.,common.label.select.crs,Select a lecture.,en
common,common.label.select.persion=Choice,common.label.select.persion,Choice,en
common,common.label.semester.sys=Semester system,common.label.semester.sys,Semester system,en
common,common.label.attend=Attached documents,common.label.attend,Attached documents,en
common,common.label.tutor=individual tutor,common.label.tutor,individual tutor,en
common,common.label.send.complete=Submission complete,common.label.send.complete,Submission complete,en
common,common.label.send.info=Submit Info,common.label.send.info,Submit Info,en
common,common.label.send.info.empty=There is no registered submission information.,common.label.send.info.empty,There is no registered submission information.,en
common,common.label.send.message=Send message,common.label.send.message,Send message,en
common,common.label.send.message.all=Send all messages,common.label.send.message.all,Send all messages,en
common,common.label.send.type=Send method,common.label.send.type,Send method,en
common,common.label.send.user.info=Submitter info,common.label.send.user.info,Submitter info,en
common,common.label.sentence.excel=Excel,common.label.sentence.excel,Excel,en
common,common.label.sentence.member=Participants,common.label.sentence.member,Participants,en
common,common.label.sentence.result=Result,common.label.sentence.result,Result,en
common,common.label.sentence.sample=Sample,common.label.sentence.sample,Sample,en
common,common.label.slide.deptnm=Department,common.label.slide.deptnm,Department,en
common,common.label.sms.send=Send SMS,common.label.sms.send,Send SMS,en
common,common.label.standard=Base,common.label.standard,Base,en
common,common.label.stare.count=Number of Stares,common.label.stare.count,Number of Stares,en
common,common.label.stare.dttm=Start date,common.label.stare.dttm,Start date,en
common,common.label.stare.score=Start Score,common.label.stare.score,Start Score,en
common,common.label.status=Status,common.label.status,Status,en
common,common.label.status.join=Participation status,common.label.status.join,Participation status,en
common,common.label.status.submit=Submission status,common.label.status.submit,Submission status,en
common,common.label.stu.add.team=Learners form teams,common.label.stu.add.team,Learners form teams,en
common,common.label.stu.info=Learner Information,common.label.stu.info,Learner Information,en
common,common.label.student.list=Learner list,common.label.student.list,Learner list,en
common,common.label.student.number=School number,common.label.student.number,School number,en
common,common.label.students=Students,common.label.students,Students,en
common,common.label.students.info=Student Information,common.label.students.info,Student Information,en
common,common.label.subject.conn.stat=Lecture access statistics,common.label.subject.conn.stat,Lecture access statistics,en
common,common.label.submit.dead.line=Deadline,common.label.submit.dead.line,Deadline,en
